doc,aid,journal,year,authors,title
342,10.2307/2808070,Population and Development Review,1990,Richard Elliot Benedick,Comment: Environmental Risk and Policy Response
343,10.2307/1972084,Population and Development Review,1979,S. Brook,Ethnic_ Racial_ and Religious Structure of the World Population
344,10.2307/25475979,Demography,2008,Yang Yang,Trends in U.S. Adult Chronic Disease Mortality_ 1960-1999: Age_ Period_ and Cohort Variations
345,10.2307/1973054,Population and Development Review,1983,Allan G. Hill,The Palestinian Population of the Middle East
346,10.2307/2174891,Population Studies,1994,Oystein Kravdal,The Importance of Economic Activity_ Economic Potential and Economic Resources for the Timing of First Births in Norway
347,10.2307/2060472,Demography,1974,Lolagene C. Coombs,The Measurement of Family Size Preferences and Subsequent Fertility
348,10.2307/2061743,Demography,1995,Pedro M. Hernandez,Changes in the Relationship between Child Support Payments and Educational Attainment of Offspring_ 1979-1988
349,10.2307/172484,Population and Development Review,1999,Joshua R. Goldstein,Longer Life and Population Growth
350,10.2307/2061604,Demography,1989,Kazuo Yamaguchi,A Formal Theory for Male-Preferring Stopping Rules of Childbearing: Sex Differences in Birth Order and in the Number of Siblings
351,10.2307/2174179,Population Studies,1987,Warren C. Robinson,The Time Cost of Children and Other Household Production
352,10.2307/2060639,Demography,1972,Desmond O'Rourke,A Stocks and Flows Approach to a Theory of Human Migration with Examples from Past Irish Migration
353,10.2307/25593683,Population and Development Review,2009,Mehmet F. Aysan,Welfare Regimes for Aging Populations: No Single Path for Reform
354,10.2307/4137236,Demography,2006,Matthew E. Dupre,Religious Attendance and Mortality: Implications for the Black-White Mortality Crossover
355,10.2307/27643430,Population Studies,2007,Elina Nihtilä,Household Income and Other Socio-Economic Determinants of Long-Term Institutional Care among Older Adults in Finland
356,10.2307/2060609,Demography,1971,Marvin McInnis,Age_ Education and Occupation Differentials in Interregional Migration: Some Evidence for Canada
357,10.2307/40646372,Population Studies,2009,Feinian Chen,<b>Family division in China's transitional economy</b>
358,10.2307/2174286,Population Studies,1986,R. G. Potter,Fecundability and the Frequency of Marital Intercourse: New Models Incorporating the Ageing of Gametes
359,10.2307/1972764,Population and Development Review,1981,Lincoln C. Chen,Sex Bias in the Family Allocation of Food and Health Care in Rural Bangladesh
360,10.2307/2137493,Population and Development Review,1995,C. Alison McIntosh,The Cairo Conference on Population and Development: A New Paradigm?
361,10.2307/2060709,Demography,1974,Edwin D. Driver,Reply to Burch and Nash: Essays on Population Policy
362,10.2307/2938405,Population and Development Review,1993,,Rescission of the US "Mexico City Policy"
363,10.2307/2174265,Population Studies,1989,Alain Blum,Recent Mortality Trends in the U.S.S.R.: New Evidence
364,10.2307/3401455,Population and Development Review,2005,,Social Security in China: Government White Paper
365,10.2307/2173263,Population Studies,1970,Bram Peper,Population Growth in Java in the 19th Century: A New Interpretation
366,10.2307/2172205,Population Studies,1947,,A Survey of Childbearing in Britain
367,10.2307/2061406,Demography,1986,Alberto Palloni,The Effects of Breastfeeding and Pace of Childbearing on Mortality at Early Ages
368,10.2307/30040490,Population Studies,2006,Michael A. Koenig,Do Current Measurement Approaches Underestimate Levels of Unwanted Childbearing? Evidence from Rural India
369,10.2307/1972898,Population and Development Review,1983,Daniel R. Vining_ Jr.,Illegitimacy and Public Policy
370,10.2307/2060323,Demography,1967,Alvan O. Zarate,A Note on the Accuracy of Male Responses to Questions on Fertility
371,10.2307/20058875,Population and Development Review,2006,Guangyu Zhang,Reexamining China's Fertility Puzzle: Data Collection and Quality over the Last Two Decades
372,10.2307/1971949,Population and Development Review,1991,Zeng Yi,A Demographic Decomposition of the Recent Increase in Crude Birth Rates in China
373,10.2307/3401343,Population and Development Review,2003,James R. Carey,Life Span: A Conceptual Overview
374,10.2307/25749199,Population and Development Review,2010,Hein de Haas,Intra-Household Conflicts in Migration Decisionmaking: Return and Pendulum Migration in Morocco
375,10.2307/2061493,Demography,1989,Barbara Entwisle,Measuring Components of Family Planning Program Effort
376,10.2307/3595730,Population Studies,2003,Ernestina Coast,An Evaluation of Demographers' Use of Ethnographies
377,10.2307/2807939,Population and Development Review,1994,John W. Thomas,Political Leadership and Policy Characteristics in Population Policy Reform
378,10.2307/2172805,Population Studies,1972,Frank L. Mott,Portrait of an American Mill Town: Demographic Response in Mid-Nineteenth Century Warren_ Rhode Island
379,10.2307/2060121,Demography,1965,Francis C. Madigan,Some Recent Vital Rates and Trends in the Philippines: Estimates and Evaluation
380,10.2307/2173162,Population Studies,1965,Charles A. Price,Some Problems of International Migration Statistics: An Australian Case- Study
381,10.2307/2172184,Population Studies,1958,Bertram Hutchinson,Structural and Exchange Mobility in the Assimilation of Immigrants to Brazil
382,10.2307/2174995,Population Studies,1991,Christabel M. Young,Changes in the Demographic Behaviour of Migrants in Australia and the Transition between Generations
383,10.2307/1973488,Population and Development Review,1985,N. S. Jodha,Population Growth and the Decline of Common Property Resources in Rajasthan_ India
384,10.2307/2808154,Population and Development Review,1998,Robert A. Hummer,Sociodemographic Differentials in Adult Mortality: A Review of Analytic Approaches
385,10.2307/2061899,Demography,1995,Larry L. Bumpass,Redefining Single-Parent Families: Cohabitation and Changing Family Reality
386,10.2307/3401467,Population and Development Review,2004,Ronald Lee,Quantifying Our Ignorance: Stochastic Forecasts of Population and Public Budgets
387,10.2307/25434633,Population and Development Review,2007,Claudia R. Valeggia,Taking the Lab to the Field: Monitoring Reproductive Hormones in Population Research
388,10.2307/2060775,Demography,1975,Mashal Khan,Abuses of Socioeconomic and Demographic Data: A Comment on Ekanem's Study and Janowitz's Note
389,10.2307/25487619,Population and Development Review,2007,David Sven Reher,Rethinking Historical Reproductive Change: Insights from Longitudinal Data for a Spanish Town
390,10.2307/1515175,Demography,2005,John Bongaarts,Long-Range Trends in Adult Mortality: Models and Projection Methods
391,10.2307/2060276,Demography,1968,Josέ L. Vazquez,Fertility Decline in Puerto Rico: Extent and Causes
392,10.2307/2060557,Demography,1974,J. Richard Udry,Effect on Unwanted Fertility of Extending Physician-Administered Birth Control in the United States
393,10.2307/1971850,Population and Development Review,1979,[Charles B. Keely],The Problem of Illegal Aliens in the United States
394,10.2307/2060132,Demography,1965,Robert C. Schmitt,Demographic Correlates of Interracial Marriage in Hawaii
395,10.2307/2175029,Population Studies,1996,Bhanu B. Niraula,Marriage Formation_ Post-Marital Contact with Natal Kin and Autonomy of Women: Evidence from Two Nepali Settings
396,10.2307/2061822,Demography,1992,Barbara A. Anderson,A Simple Measure of Fertility Control
397,10.2307/2061886,Demography,1994,Timothy B. Gage,Population Variation in Cause of Death: Level_ Gender_ and Period Effects
398,10.2307/2137459,Population and Development Review,1997,Malcolm Potts,Sex and the Birth Rate: Human Biology_ Demographic Change_ and Access to Fertility-Regulation Methods
399,10.2307/1972889,Population and Development Review,1978,Pope Paul VI,Pope Paul VI on Population and Development
400,10.2307/2061387,Demography,1987,Mark R. Montgomery,A New Look at the Easterlin "Synthesis" Framework
401,10.2307/2061011,Demography,1982,W. Brian Arthur,The Ergodic Theorems of Demography: A Simple Proof
402,10.2307/3038303,Demography,1997,Steven Ruggles,Reply to Oppenheimer and Preston
403,10.2307/3004024,Demography,1998,Avery M. Guest,The Ecology of Race and Socioeconomic Distress: Infant and Working-Age Mortality in Chicago
404,10.2307/1971732,Population and Development Review,1978,[Edwin Cannan],A Nineteenth Century Forecast of the Cessation of Population Growth in England
405,10.2307/2648131,Demography,1999,Mark M. Pitt,Credit Programs for the Poor and Reproductive Behavior in Low-Income Countries: Are the Reported Causal Relationships the Result of Heterogeneity Bias?
406,10.2307/1973020,Population and Development Review,1982,[Sanjiva Reddy],Quotations
407,10.2307/25434762,Population and Development Review,2008,Raouf Boucekkine,Demographic_ Economic_ and Institutional Factors in the Transition to Modern Growth in England: 1530-1860
408,10.2307/1973049,Population and Development Review,1983,Bernard Gilland,Considerations on World Population and Food Supply
409,10.2307/2061276,Demography,1991,Ian M. Timaeus,Estimation of Mortality from Orphanhood in Adulthood
410,10.2307/2060521,Demography,1978,Robert T. Michael,The Rise in Divorce Rates_ 1960-1974: Age-Specific Components
411,10.2307/2173003,Population Studies,1968,Jay H. Glasser,Observations on the Relationship between Frequency and Timing of Intercourse and the Probability of Conception
412,10.2307/2172071,Population Studies,1959,E. P. Hutchinson,Swedish Population Thought in the Eighteenth Century
413,10.2307/2172578,Population Studies,1949,Seymour L. Wolfbein,The Length of Working Life
414,10.2307/2175074,Population Studies,1997,Warren C. Robinson,The Economic Theory of Fertility Over Three Decades
415,10.2307/2060535,Demography,1976,Francis C. Madigan,Report on Matching Procedures of a Dual Record System in the Southern Philippines
416,10.2307/30053112,Demography,2007,,Erratum: The Association of Childhood Socioeconomic Conditions With Healthy Longevity at the Oldest-Old Ages in China
417,10.2307/27643413,Population Studies,2007,Helga A. G. de Valk,Living Arrangements of Migrant and Dutch Young Adults: The Family Influence Disentangled
418,10.2307/2061657,Demography,1997,James R. Carey,What Demographers Can Learn from Fruit Fly Actuarial Models and Biology
419,10.2307/1973517,Population and Development Review,1984,McGeorge Bundy,The United States Government and the Population Problem Abroad
420,10.2307/3401468,Population and Development Review,2004,David A. Wise,Social Security Provisions and the Labor Force Participation of Older Workers
421,10.2307/172445,Population and Development Review,1999,,CDC on Vaccines and Children's Health: United States 1900-98
422,10.2307/3401344,Population and Development Review,2003,Steven Hecht Orzack,How and Why Do Aging and Life Span Evolve?
423,10.2307/2172203,Population Studies,1947,Paul E. Vincent,French Demography in the Eighteenth Century
424,10.2307/2061089,Demography,1981,Josefina J. Card,Long-Term Consequences for Children of Teenage Parents
425,10.2307/2695175,Population and Development Review,2001,,Global Warming: New Scenarios from the Intergovernmental Panel on Climate Change
426,10.2307/2137547,Population and Development Review,1997,Harriet B. Presser,Demography_ Feminism_ and the Science-Policy Nexus
427,10.2307/2060383,Demography,1969,Calvin L. Beale,Natural Decrease of Population: The Current and Prospective Status of an Emergent American Phenomenon
428,10.2307/2172565,Population Studies,1954,C. J. Martin,Note on the Use of Statistics of Total Fertility to Provide Estimates of Crude Birth Rates
429,10.2307/3180824,Demography,2002,Jennifer Van Hook,Diversity and Change in the Institutional Context of Immigrant Adaptation: California Schools 1985-2000
430,10.2307/2061137,Demography,1979,James C. Cramer,Employment Trends of Young Mothers and the Opportunity Cost of Babies in the United States
431,10.2307/1973429,Population and Development Review,1986,Norman B. Ryder,Observations on the History of Cohort Fertility in the United States
432,10.2307/2061094,Demography,1981,Kenneth G. Manton,Methods for the Analysis of Mortality Risks Across Heterogeneous Small Populations: Examination of Space-Time Gradients in Cancer Mortality in North Carolina Countries 1970-75
433,10.2307/2061683,Demography,1995,Frank F. Furstenberg_ Jr.,The Effect of Divorce on Intergenerational Transfers: New Evidence
434,10.2307/2172657,Population Studies,1970,William H. James,The Incidence of Spontaneous Abortion
435,10.2307/2172394,Population Studies,1951,N. K. Sarkar,A Note on Abridged Life Tables for Ceylon_ 1900-1947
436,10.2307/2173895,Population Studies,1979,James Allman,Fertility_ Mortality_ Migration and Family Planning in Haiti
437,10.2307/2060877,Demography,1973,Norman B. Ryder,A Critique of the National Fertility Study
438,10.2307/2061325,Demography,1988,Machiko Yanagishita,Changing Mortality Patterns that Led Life Expectancy in Japan to Surpass Sweden's: 1972-1982
439,10.2307/3401432,Population and Development Review,2004,,The US 9/11 Commission on Border Control
440,10.2307/2061742,Demography,1995,James C. Cramer,Racial and Ethnic Differences in Birthweight: The Role of Income and Financial Assistance
441,10.2307/172375,Population and Development Review,1999,Sergei Scherbov,Marital and Fertility Careers of Russian Women Born between 1910 and 1934
442,10.2307/2060671,Demography,1972,Roger K. Baer,Male Labor Force Participation Revisited
443,10.2307/2174667,Population Studies,1981,R. C. Avery,Comment on `The Random Variation in Rates Based on Total Enumeration of Events' by J. R. Udry_ C. Teddlie_ C. M. Suchindran
444,10.2307/3092837,Population and Development Review,2002,Ronald D. Lee,Children's Economic Roles in the Maya Family Life Cycle: Cain_ Caldwell_ and Chayanov Revisited
445,10.2307/1973670,Population and Development Review,1992,[Delegates of the United Nations Conference on Environment and Development],The "Earth Summit" on Population
446,10.2307/2172210,Population Studies,1958,E. G. Jacoby,A Fertility Analysis of New Zealand Marriage Cohorts
447,10.2307/2061814,Demography,1993,Roger A. Wojtkiewicz,Simplicity and Complexity in the Effects of Parental Structure on High School Graduation
448,10.2307/2061697,Demography,1997,Barbara Entwisle,Geographic Information Systems_ Spatial Network Analysis_ and Contraceptive Choice
449,10.2307/2172333,Population Studies,1948,Sigismund Peller,Mortality_ Past and Future
450,10.2307/2060952,Demography,1981,Barbara Entwisle,CBR versus TFR in Cross-National Fertility Research
451,10.2307/2061859,Demography,1993,Saul D. Hoffman,Reevaluating the Costs of Teenage Childbearing
452,10.2307/2175291,Population Studies,1992,William Sander,Catholicism and the Economics of Fertility
453,10.2307/2808006,Population and Development Review,1996,Frances K. Goldscheider,Fertility and Commitment: Bringing Men Back In
454,10.2307/2060734,Demography,1975,Joseph A. Norland (Yam),Measuring Change in Sex Composition
455,10.2307/2060096,Demography,1969,Ann R. Miller,Note on Some Problems in Interpreting Migration Data from the 1960 Census of Population
456,10.2307/2174103,Population Studies,1985,Anne R. Pebley,Intra-uterine Mortality and Maternal Nutritional Status in Rural Bangladesh
457,10.2307/2173840,Population Studies,1978,Lolagene C. Coombs,Family Composition Preferences in a Developing Culture: The Case of Taiwan_ 1973
458,10.2307/2061652,Demography,1993,Elizabeth Zenger,Siblings' Neonatal Mortality Risks and Birth Spacing in Bangladesh
459,10.2307/2172211,Population Studies,1958,Chi-Hsien Tuan,Reproductive Histories of Chinese Women in Rural Taiwan
460,10.2307/2061065,Demography,1985,Gary D. Sandefur,Variations in Interstate Migration of Men Across the Early Stages of the Life Cycle
461,10.2307/2808116,Population and Development Review,1982,Robert J. Willis,The Direction of Intergenerational Transfers and Demographic Transition: The Caldwell Hypothesis Reexamined
462,10.2307/2174913,Population Studies,1996,Samson W. Wasaoo,An Analysis of Factors Related to Parity among the Amish in Northeast Ohio
463,10.2307/2174099,Population Studies,1985,Peter Laslett,Gregory King_ Robert Malthus and the Origins of English Social Realism
464,10.2307/2695128,Population and Development Review,2001,Gary P. Freeman,Divergent Paths of Immigration Politics in the United States and Australia
465,10.2307/2173838,Population Studies,1978,N. F. R. Crafts,Average Age at First Marriage for Women in Mid-Nineteenth-Century England and Wales: A Cross-Section Study
466,10.2307/3092783,Population and Development Review,2002,Hans-Peter Kohler,The Emergence of Lowest-Low Fertility in Europe during the 1990s
467,10.2307/3088336,Demography,2002,Victor Agadjanian,War_ Peace_ and Fertility in Angola
468,10.2307/4147347,Demography,2005,Emily Hannum,Market Transition_ Educational Disparities_ and Family Strategies in Rural China: New Evidence on Gender Stratification and Development
469,10.2307/2061745,Demography,1995,Robin M. Weinick,Sharing a Home: The Experiences of American Women and Their Parents over the Twentieth Century
470,10.2307/2173049,Population Studies,1970,S. Enke,Economic Value of Preventing Births: Reply to Simon
471,10.2307/3038301,Demography,1997,Valerie Kincade Oppenheimer,Comment on "The Rise of Divorce and Separation in the United States_ 1880-1990"
472,10.2307/20058925,Population and Development Review,2006,Brienna Perelli-Harris,The Influence of Informal Work and Subjective Well-Being on Childbearing in Post-Soviet Russia
473,10.2307/3401359,Population and Development Review,2005,Vaclav Smil,The Next 50 Years: Fatal Discontinuities
474,10.2307/40800834,Demography,2010,CARL P. SCHMERTMANN,KNOX MEETS COX: ADAPTING EPIDEMIOLOGICAL SPACE-TIME STATISTICS TO DEMOGRAPHIC STUDIES
475,10.2307/27643393,Population Studies,2007,Kenneth A. Bollen,Socio-Economic Status_ Permanent Income_ and Fertility: A Latent-Variable Approach
476,10.2307/1973197,Population and Development Review,1987,John Bongaarts,Does Family Planning Reduce Infant Mortality Rates?
477,10.2307/2173870,Population Studies,1979,Y. C. Yu,The Population Policy of China
478,10.2307/2060718,Demography,1975,Charles F. Hohm,Social Security and Fertility: An International Perspective
479,10.2307/3595749,Population Studies,2003,Mohamed M. Ali,Annual Mortality Rates and Excess Deaths of Children under Five in Iraq_ 1991-98
480,10.2307/2808005,Population and Development Review,1996,Robert J. Willis,Economic Approaches to Understanding Nonmarital Fertility
481,10.2307/2172981,Population Studies,1966,Michael Drake,Malthus on Norway
482,10.2307/1972967,Population and Development Review,1990,Alfred Sauvy,Alfred Sauvy on the World Population Problem: A View in 1949
483,10.2307/3004020,Demography,1998,W. Parker Frisbie,Birth Outcome_ Not Pregnancy Process: Reply to van der Veen
484,10.2307/2175255,Population Studies,1995,Naomi Williams,Urban-rural Differentials in Infant Mortality in Victorian England
485,10.2307/2061365,Demography,1992,Jeffrey A. Burr,The Living Arrangements of Unmarried Elderly Hispanic Females
486,10.2307/2060487,Demography,1978,Vivian Z. Klaff,Annexation as a Factor in the Growth of U.S. Cities_ 1950-1960 and 1960-1970
487,10.2307/2061572,Demography,1990,Glenn V. Fuguitt,Residential Preferences and Population Redistribution: 1972-1988
488,10.2307/2174384,Population Studies,1983,Jane T. Bertrand,The Use of Traditional and Modern Methods of Fertility Control in Kinshasa_ Zaire
489,10.2307/3092942,Population Studies,2002,Violetta Hionidou,Why Do People Die in Famines? Evidence from Three Island Populations
490,10.2307/3401436,Population and Development Review,2005,Kenneth Hill,Mexico: US Migration: Views from Both Sides of the Border
491,10.2307/2172544,Population Studies,1954,Maud Bulbring,Post-War Refugees in Great Britain
492,10.2307/2060414,Demography,1970,Robert J. Lapham,Family Planning and Fertility in Tunisia
493,10.2307/3401379,Population and Development Review,2005,,The President of Russia on Population
494,10.2307/2584700,Population Studies,1999,Anne-Emmanuele Calves,Marginalization of African Single Mothers in the Marriage Market: Evidence from Cameroon
495,10.2307/25749162,Population Studies,2010,Karsten Hank,Childbearing history_ later-life health_ and mortality in Germany
496,10.2307/25749197,Population and Development Review,2010,Homa Hoodfar,Health as a Context for Social and Gender Activism: Female Volunteer Health Workers in Iran
497,10.2307/172482,Population and Development Review,1999,Patrick Heuveline,The Global and Regional Impact of Mortality and Fertility Transitions_ 1950-2000
498,10.2307/2173609,Population Studies,1976,Carl E. Taylor,The Child Survival Hypothesis
499,10.2307/25434739,Population and Development Review,2008,,H. G. Wells on the Diffusion of Great Cities
500,10.2307/2060895,Demography,1973,Lincoln H. Day,A Survey of Population Textbooks
501,10.2307/172404,Population and Development Review,2000,Jean-Baptiste Moheau,Jean-Baptiste Moheau on the Moral Causes of Diminished Fertility
502,10.2307/2060636,Demography,1972,Robert E. Cole,Optimal Population and Increasing Returns to Scale
503,10.2307/1972721,Population and Development Review,1982,[Julian Simon],Answer to Malthus? Julian Simon Interviewed by William Buckley
504,10.2307/1973112,Population and Development Review,1986,Bernard Gilland,On Resources and Economic Development
505,10.2307/2173021,Population Studies,1968,Nathan Keyfitz,Changing Vital Rates and Age Distributions
506,10.2307/2172393,Population Studies,1951,J. R. H. Shaul,Vital Statistics of the African Population of Southern Rhodesia in 1948
507,10.2307/25487644,Population and Development Review,2009,Lesley Newson,Why Do People Become Modern? A Darwinian Explanation
508,10.2307/2173186,Population Studies,1965,L. P. Chow,A Programme to Control Fertility in Taiwan: Setting_ Accomplishment and Evaluation
509,10.2307/2172326,Population Studies,1956,C. A. L. Myburgh,Estimating the Fertility and Mortality of African Populations from the Total Number of Children Ever Born and the Number of these Still Living
510,10.2307/2060197,Demography,1968,G. M. K. Kpedekpo,Evaluation and Adjustment of Vital Registration Data from the Compulsory Registration Areas of Ghana
511,10.2307/3088286,Demography,2001,Joseph Lee Rodgers,Behavior Genetic Modeling of Human Fertility: Findings from a Contemporary Danish Twin Study
512,10.2307/2173208,Population Studies,1971,Bernard Berelson,Population Policy: Personal Notes
513,10.2307/2060545,Demography,1972,Jacob S. Siegel,Development and Accuracy of Projections of Population and Households in the United States
514,10.2307/20058849,Population and Development Review,2006,Geoffrey McNicoll,Policy Lessons of the East Asian Demographic Transition
515,10.2307/4148244,Population Studies,2004,Susan E. Short,Use of Maternal Health Services in Rural China
516,10.2307/2060084,Demography,1969,James A. Palmore,Marriage Patterns and Cumulative Fertility in West Malaysia: 1966-1967
517,10.2307/1515174,Demography,2005,David Cutler,The Role of Public Health Improvements in Health Advances: The Twentieth-Century United States
518,10.2307/2695207,Population and Development Review,2001,Daniel Goodkind,The North Korean Famine and Its Demographic Impact
519,10.2307/25699075,Population and Development Review,2010,,A Call for Reform of China's Household Registration System
520,10.2307/3004008,Demography,1998,Anne R. Pebley,Demography and the Environment
521,10.2307/1973290,Population and Development Review,1984,[Richard Cantillon],Cantillon on Tastes and Population Growth
522,10.2307/1972531,Population and Development Review,1990,Thomas E. Fricke,Darwinian Transitions?: A Comment
523,10.2307/2174379,Population Studies,1983,M. Poffenberger,Toward a New Understanding of Population Change in Bali
524,10.2307/2060859,Demography,1972,Reynolds Farley,The 1960s: A Decade of Progress for Blacks?
525,10.2307/2061644,Demography,1993,Barry M. Popkin,Nutrition_ Lactation_ and Birth Spacing in Filipino Women
526,10.2307/1973696,Population and Development Review,1992,[The Royal Society of London],The Royal Society and the National Academy of Sciences on Population Growth and Sustainability
527,10.2307/2173937,Population Studies,1975,H. V. Muhsam,Some Principles of Cost-Benefit Analysis of Family Planning Services in Developing Countries
528,10.2307/25434680,Population and Development Review,2008,John Bongaarts,Has the HIV Epidemic Peaked?
529,10.2307/2173537,Population Studies,1979,A. J. Coale,The Use of Modern Analytical Demography by T. R. Malthus
530,10.2307/2060904,Demography,1983,Frank D. Bean,The Number of Illegal Migrants of Mexican Origin in the United States: Sex Ratio-based Estimates for 1980
531,10.2307/27643442,Population Studies,2008,Cynthia B. Lloyd,Marriage and Childbirth as Factors in Dropping out from School: An Analysis of DHS Data from Sub-Saharan Africa
532,10.2307/2061477,Demography,1988,Elizabeth Hervey Stephen,Racial Differences in Contraceptive Choice: Complexity and Implications
533,10.2307/2808071,Population and Development Review,1990,Ellis B. Cowling,Acid Rain and Other Airborne Pollutants: Their Human Causes and Consequences
534,10.2307/25487643,Population and Development Review,2009,Michael S. Rendall,Universal versus Economically Polarized Change in Age at First Birth: A French: British Comparison
535,10.2307/2172398,Population Studies,1970,D. V. Glass,The Components of Natural Increase in England and Wales
536,10.2307/2060019,Demography,1970,James R. Abernathy,Estimates of Induced Abortion in Urban North Carolina
537,10.2307/1973083,Population and Development Review,1984,K. Srinivasan,Factors Affecting Fertility Control in India: A Cross-Sectional Study
538,10.2307/2061328,Demography,1988,Saul D. Hoffman,What Are the Economic Consequences of Divorce?
539,10.2307/2584785,Population Studies,2000,Susan E. Short,Birth Planning and Sterilization in China
540,10.2307/2061264,Demography,1989,Lisa Berkman,Black/White Differences in Health Status and Mortality Among the Elderly
541,10.2307/2172029,Population Studies,1953,W. Brass,The Derivation of Fertility and Reproduction Rates from Restricted Data on Reproductive Histories
542,10.2307/30040440,Population Studies,2005,,Erratum: Annual Mortality Rates and Excess Deaths of Children under Five in Iraq_ 1991-98
543,10.2307/2060533,Demography,1976,Thomas J. Espenshade,Compensating Changes in Fertility and Mortality
544,10.2307/1515211,Demography,2004,Rima Wilkes,Hypersegregation in the Twenty-First Century
545,10.2307/2061872,Demography,1996,Samuel H. Preston,African-American Mortality at Older Ages: Results of a Matching Study
546,10.2307/2060095,Demography,1969,M. Alfred Haynes,A Study on the Effectiveness of Sterilizations in Reducing the Birth Rate
547,10.2307/2060193,Demography,1968,John Stoeckel,Social and Demographic Correlates of Contraceptive Adoption in a Rural Area of East Pakistan
548,10.2307/2060441,Demography,1974,Avery M. Guest,Metropolitan Retail Nucleation
549,10.2307/25749198,Population and Development Review,2010,Michal Engelman,The Implications of Increased Survivorship for Mortality Variation in Aging Populations
550,10.2307/1972556,Population and Development Review,1981,Harvey Leibenstein,Economic Decision Theory and Human Fertility Behavior: A Speculative Essay
551,10.2307/2061366,Demography,1992,Elise F. Jones,Underreporting of Abortion in Surveys of U.S. Women: 1976 to 1988
552,10.2307/3115258,Population and Development Review,2001,Tomas Frejka,Paths to Subreplacement Fertility: The Empirical Evidence
553,10.2307/2061863,Demography,1993,Linda S. Adair,The Duration of Breast-Feeding: How Is It Affected by Biological_ Sociodemographic_ Health Sector_ and Food Industry Factors?
554,10.2307/1972896,Population and Development Review,1983,Thomas E. Dow_ Jr.,Prospects for Fertility Decline in Rural Kenya
555,10.2307/2807931,Population and Development Review,1989,Ian Livingstone,Population Growth and Rural Labor Absorption in Eastern and Southern Africa
556,10.2307/20058922,Population and Development Review,2006,Matthew Connelly,Population Control in India: Prologue to the Emergency Period
557,10.2307/2808028,Population and Development Review,1998,Francis Hutcheson,Francis Hutcheson on the Rights of Society
558,10.2307/1971629,Population and Development Review,1976,[Josiah Wedgewood],Inheritance_ Marriage_ and the Relative Size of Families
559,10.2307/2174404,Population Studies,1988,Charles W. Warren,Tubal Sterilization: Questioning the Decision
560,10.2307/2060171,Demography,1966,Basil G. Zimmer,A Further Look at Catholic Fertility
561,10.2307/2061584,Demography,1985,Greg J. Duncan,A Reconsideration of the Economic Consequences of Marital Dissolution
562,10.2307/4137259,Demography,2007,Ronald R. Rindfuss,Child Care Availability and First-Birth Timing in Norway
563,10.2307/2061513,Demography,1987,Radheshyam Bairagi,A Comment on Fred Arnold's "Measuring the Effect of Sex Preference on Fertility"
564,10.2307/2060905,Demography,1983,S. Mitra,Generalization of the Immigration and the Stable Population Model
565,10.2307/2060705,Demography,1974,Vernon Renshaw,Using Gross Migration Data Compiled from the Social Security Sample File
566,10.2307/2938389,Population and Development Review,1993,Dennis A. Ahlburg,The Census Bureau's New Projections of the US Population
567,10.2307/2175093,Population Studies,1994,Arthur P. Wolf,Fertility and Women's Labour: Two Negative (but Instructive) Findings
568,10.2307/2173921,Population Studies,1977,J. E. Potter,Problems in Using Birth-History Analysis to Estimate Trends in Fertility
569,10.2307/25434606,Population and Development Review,2007,Zeng Yi,Options for Fertility Policy Transition in China
570,10.2307/2061455,Demography,1990,Robert Kominski,Estimating the National High School Dropout Rate
571,10.2307/2060207,Demography,1968,Gavin Jones,The Effects of Differing Trends in Fertility and of Educational Advance on the Growth_ Quality_ and Turnover of the Labor Force
572,10.2307/2061795,Demography,1994,Stewart E. Tolnay,The Persistence of High Fertility in the American South on the Eve of the Baby Boom
573,10.2307/2060210,Demography,1968,Robert C. Schmitt,Travel_ Tourism_ and Migration
574,10.2307/2174666,Population Studies,1981,D. Byerlee,Factors Affecting Reliability in Age Estimation in Rural West Africa: A Statistical Analysis
575,10.2307/2172998,Population Studies,1968,Peter Mazur,Birth Control and Regional Differentials in the Soviet Union
576,10.2307/2173428,Population Studies,1975,Julian L. Simon,The Mixed Effects of Income upon Successive Births May Explain the Convergence Phenomenon
577,10.2307/1972528,Population and Development Review,1990,John Knodel,Family Size and the Education of Children in the Context of Rapid Fertility Decline
578,10.2307/1972925,Population and Development Review,1980,Ron Lesthaeghe,On the Social Control of Human Reproduction
579,10.2307/2061203,Demography,1978,James Patrick Manyenye Ntozi,The Demeny-Shorter and Three-Census Methods for Correcting Age Data
580,10.2307/2061476,Demography,1988,Frank D. Bean,Undocumented Mexican Immigrants and the Earnings of Other Workers in the United States
581,10.2307/2584763,Population Studies,1998,Patrick Heuveline,'Between One and Three Million': Towards the Demographic Reconstruction of a Decade of Cambodian History (1970-79)
582,10.2307/2137805,Population and Development Review,1996,John Knodel,Post-Cairo Population Policy: Does Promoting Girls' Schooling Miss the Mark?
583,10.2307/2173533,Population Studies,1979,Joseph A. Cavanaugh,Is Fertility Declining in Less Developed Countries? An Evaluation Analysis of Data Sources and Population Programme Assistance
584,10.2307/2172550,Population Studies,1954,Cicely Watson,A Survey of Recent Belgian Population Policy
585,10.2307/2137747,Population and Development Review,1995,Andrzej Kulczycki,Abortion Policy in Postcommunist Europe: The Conflict in Poland
586,10.2307/25487661,Population and Development Review,2009,Derek D. Headey,The Effect of Population Growth on Economic Growth: A Meta-Regression Analysis of the Macroeconomic Literature
